date,nav,fund_name,returns
2026-07-24,6242.1652,axis_bluechip,
2026-07-23,6240.5818,axis_bluechip,-0.00025366198254417327
2026-07-22,6238.7028,axis_bluechip,-0.0003010937217423626
2026-07-21,6238.7844,axis_bluechip,1.3079642133151381e-05
2026-07-20,6235.2804,axis_bluechip,-0.0005616478748647902
2026-07-17,6234.115,axis_bluechip,-0.00018690418477407267
2026-07-16,6230.8027,axis_bluechip,-0.0005313183988424619
2026-07-15,6228.0939,axis_bluechip,-0.0004347433437429382
2026-07-14,6227.1416,axis_bluechip,-0.00015290392458600088
2026-07-13,6230.5791,axis_bluechip,0.0005520189230963091
2026-07-10,6228.9381,axis_bluechip,-0.00026337840731360807
2026-07-09,6227.9863,axis_bluechip,-0.00015280293120922828
2026-07-08,6224.3456,axis_bluechip,-0.0005845709711981284
2026-07-07,6227.8516,axis_bluechip,0.0005632720650987633
2026-07-06,6231.476,axis_bluechip,0.0005819663397246266
2026-07-03,6229.0236,axis_bluechip,-0.00039355042047806155
2026-07-02,6229.4422,axis_bluechip,6.720154343287099e-05
2026-07-01,6225.516,axis_bluechip,-0.0006302650982138447
2026-06-30,6220.8373,axis_bluechip,-0.0007515360975699492
2026-06-29,6217.3124,axis_bluechip,-0.0005666279039319155
2026-06-25,6209.1907,axis_bluechip,-0.0013063039907725837
2026-06-24,6204.477,axis_bluechip,-0.0007591488533280621
2026-06-23,6200.8511,axis_bluechip,-0.0005844005868665958
2026-06-22,6199.4871,axis_bluechip,-0.0002199698038225506
2026-06-19,6195.7815,axis_bluechip,-0.0005977268667919367
2026-06-18,6194.652,axis_bluechip,-0.00018230145785480545
2026-06-17,6193.3504,axis_bluechip,-0.0002101167264924042
2026-06-16,6191.812,axis_bluechip,-0.00024839544037424943
2026-06-15,6187.8223,axis_bluechip,-0.000644350958976192
2026-06-12,6181.8148,axis_bluechip,-0.0009708585199674769
2026-06-11,6179.1996,axis_bluechip,-0.0004230472902553295
2026-06-10,6181.7967,axis_bluechip,0.00042029715304869875
2026-06-09,6180.6685,axis_bluechip,-0.0001825035753764137
2026-06-08,6174.2084,axis_bluechip,-0.001045210562579002
2026-06-05,6168.4755,axis_bluechip,-0.0009285238897994708
2026-06-04,6160.9434,axis_bluechip,-0.0012210634540089638
2026-06-03,6159.9626,axis_bluechip,-0.00015919639839578892
2026-06-02,6158.9665,axis_bluechip,-0.000161705527238043
2026-06-01,6156.7532,axis_bluechip,-0.0003593622404018948
2026-05-29,6151.1139,axis_bluechip,-0.0009159535581189093
2026-05-27,6146.6118,axis_bluechip,-0.0007319162143950564
2026-05-26,6144.0004,axis_bluechip,-0.0004248519485157143
2026-05-25,6144.8478,axis_bluechip,0.0001379231681037929
2026-05-22,6142.638,axis_bluechip,-0.0003596183456324731
2026-05-21,6142.8808,axis_bluechip,3.9526991497895736e-05
2026-05-20,6147.5856,axis_bluechip,0.0007658947248334602
2026-05-19,6149.7598,axis_bluechip,0.0003536672998907253
2026-05-18,6148.4847,axis_bluechip,-0.0002073414314490707
2026-05-15,6148.3016,axis_bluechip,-2.9779695149945162e-05
2026-05-14,6148.9361,axis_bluechip,0.0001031992314755037
2026-05-13,6150.1257,axis_bluechip,0.0001934643620706833
2026-05-12,6150.5076,axis_bluechip,6.209629178810516e-05
2026-05-11,6151.8671,axis_bluechip,0.0002210386667924613
2026-05-08,6151.3707,axis_bluechip,-8.069094990692527e-05
2026-05-07,6149.9098,axis_bluechip,-0.00023749178374177227
2026-05-06,6149.0307,axis_bluechip,-0.00014294518596025263
2026-05-05,6146.0001,axis_bluechip,-0.0004928581670603505
2026-05-04,6145.7049,axis_bluechip,-4.8031239049395325e-05
2026-04-30,6140.1614,axis_bluechip,-0.0009020120702508683
2026-04-29,6141.8799,axis_bluechip,0.00027987863641509847
2026-04-28,6143.001,axis_bluechip,0.00018253368972587225
2026-04-27,6142.5902,axis_bluechip,-6.687285253581532e-05
2026-04-24,6142.2018,axis_bluechip,-6.323065471625089e-05
2026-04-23,6141.9603,axis_bluechip,-3.931814809476908e-05
2026-04-22,6143.3663,axis_bluechip,0.0002289171423006664
2026-04-21,6142.9601,axis_bluechip,-6.612010096151977e-05
2026-04-20,6142.2537,axis_bluechip,-0.00011499342149401404
2026-04-17,6139.2351,axis_bluechip,-0.0004914482773644702
2026-04-16,6139.7004,axis_bluechip,7.579120076384172e-05
2026-04-15,6137.6962,axis_bluechip,-0.0003264328663332705
2026-04-13,6133.4071,axis_bluechip,-0.0006988126913156645
2026-04-10,6129.7674,axis_bluechip,-0.0005934222106340759
2026-04-09,6126.1544,axis_bluechip,-0.0005894187763143544
2026-04-08,6119.1243,axis_bluechip,-0.00114755514487197
2026-04-07,6110.1834,axis_bluechip,-0.0014611404445568077
2026-04-06,6107.3346,axis_bluechip,-0.0004662380510541686
2026-04-02,6104.7264,axis_bluechip,-0.00042706027601646657
2026-03-31,6102.5131,axis_bluechip,-0.0003625551507107083
2026-03-30,6101.3858,axis_bluechip,-0.00018472717412110207
2026-03-27,6095.1859,axis_bluechip,-0.0010161462007531874
2026-03-25,6090.541,axis_bluechip,-0.0007620604319878987
2026-03-24,6089.2045,axis_bluechip,-0.00021943863443329992
2026-03-23,6090.1601,axis_bluechip,0.00015693347135914415
2026-03-20,6093.5261,axis_bluechip,0.0005526948298124612
2026-03-18,6093.8586,axis_bluechip,5.456610746268353e-05
2026-03-17,6089.0993,axis_bluechip,-0.0007809994147222055
2026-03-16,6086.3434,axis_bluechip,-0.00045259567371480625
2026-03-13,6083.6197,axis_bluechip,-0.000447510076411306
2026-03-12,6087.112,axis_bluechip,0.0005740496895294545
2026-03-11,6088.3404,axis_bluechip,0.00020180341679276736
2026-03-10,6086.6516,axis_bluechip,-0.00027738265094379155
2026-03-09,6085.2288,axis_bluechip,-0.00023375742419695644
2026-03-06,6084.2962,axis_bluechip,-0.000153256357427356
2026-03-05,6082.3927,axis_bluechip,-0.000312854591135725
2026-03-04,6081.0589,axis_bluechip,-0.00021928870196108452
2026-03-02,6081.764,axis_bluechip,0.0001159502007126445
2026-02-27,6079.9195,axis_bluechip,-0.0003032837183423176
2026-02-26,6078.8123,axis_bluechip,-0.00018210767428750163
2026-02-25,6077.5886,axis_bluechip,-0.00020130577152377427
2026-02-24,6076.1758,axis_bluechip,-0.00023246061768644743
2026-02-23,6074.6388,axis_bluechip,-0.00025295515643253275
2026-02-20,6071.6571,axis_bluechip,-0.0004908439988233759
2026-02-18,6069.767,axis_bluechip,-0.00031129887094583086
2026-02-17,6069.7063,axis_bluechip,-1.0000383869779306e-05
2026-02-16,6069.3783,axis_bluechip,-5.403885851928969e-05
2026-02-13,6066.864,axis_bluechip,-0.00041425989215415626
2026-02-12,6063.705,axis_bluechip,-0.0005206973487454913
2026-02-11,6061.1204,axis_bluechip,-0.0004262410522939408
2026-02-10,6058.8643,axis_bluechip,-0.00037222491076061015
2026-02-09,6057.5032,axis_bluechip,-0.00022464606114380725
2026-02-06,6054.9686,axis_bluechip,-0.0004184232209732963
2026-02-05,6055.7449,axis_bluechip,0.00012820875734997905
2026-02-04,6053.3313,axis_bluechip,-0.0003985636845436069
2026-02-03,6050.7733,axis_bluechip,-0.0004225772344560452
2026-02-02,6047.2159,axis_bluechip,-0.0005879248525142433
2026-01-30,6043.7838,axis_bluechip,-0.0005675504325882708
2026-01-29,6041.3173,axis_bluechip,-0.00040810526677015346
2026-01-28,6040.7842,axis_bluechip,-8.824234409932075e-05
2026-01-27,6041.4977,axis_bluechip,0.00011811380383353054
2026-01-23,6037.6453,axis_bluechip,-0.0006376564539617435
2026-01-22,6037.506,axis_bluechip,-2.307190851369434e-05
2026-01-21,6034.6246,axis_bluechip,-0.0004772500433126714
2026-01-20,6033.4329,axis_bluechip,-0.0001974770725590158
2026-01-19,6033.5639,axis_bluechip,2.1712348868607734e-05
2026-01-16,6031.7639,axis_bluechip,-0.0002983311405718725
2026-01-14,6031.499,axis_bluechip,-4.391750147914042e-05
2026-01-13,6030.9953,axis_bluechip,-8.35115781334661e-05
2026-01-12,6031.2329,axis_bluechip,3.939648236839233e-05
2026-01-09,6028.4591,axis_bluechip,-0.00045990596715306253
2026-01-08,6028.086,axis_bluechip,-6.188977876619983e-05
2026-01-07,6028.3846,axis_bluechip,4.953479429459229e-05
2026-01-06,6028.7271,axis_bluechip,5.6814556921302994e-05
2026-01-05,6027.6905,axis_bluechip,-0.00017194342732818058
2026-01-02,6025.268,axis_bluechip,-0.00040189522006806033
2026-01-01,6024.7187,axis_bluechip,-9.116606929349125e-05
2025-12-31,6023.5454,axis_bluechip,-0.00019474768174654322
2025-12-30,6020.3988,axis_bluechip,-0.0005223833790644061
2025-12-29,6020.5172,axis_bluechip,1.966647126439014e-05
2025-12-26,6017.7227,axis_bluechip,-0.00046416277990202204
2025-12-24,6015.9944,axis_bluechip,-0.00028720166849838247
2025-12-23,6013.8267,axis_bluechip,-0.0003603228088111532
2025-12-22,6012.9635,axis_bluechip,-0.0001435358953725263
2025-12-19,6009.9347,axis_bluechip,-0.0005037116889201609
2025-12-18,6008.9502,axis_bluechip,-0.00016381209599491964
2025-12-17,6007.8902,axis_bluechip,-0.0001764035255277241
2025-12-16,6007.2035,axis_bluechip,-0.00011429969209497681
2025-12-15,6006.304,axis_bluechip,-0.0001497368950460487
2025-12-12,6004.0068,axis_bluechip,-0.0003824648236253614
2025-12-11,6003.0596,axis_bluechip,-0.0001577613136615197
2025-12-10,6002.278,axis_bluechip,-0.00013020027320720384
2025-12-09,6002.302,axis_bluechip,3.99848190957286e-06
2025-12-08,6002.0388,axis_bluechip,-4.384984294347749e-05
2025-12-05,5999.0953,axis_bluechip,-0.0004904166897422568
2025-12-04,5996.9391,axis_bluechip,-0.00035942086134221896
2025-12-03,5996.3511,axis_bluechip,-9.805002021778808e-05
2025-12-02,5995.7798,axis_bluechip,-9.527460791936004e-05
2025-12-01,5994.9936,axis_bluechip,-0.00013112556268335407
2025-11-28,5992.5375,axis_bluechip,-0.00040969184687689175
2025-11-27,5991.5695,axis_bluechip,-0.00016153424154641272
2025-11-26,5990.4554,axis_bluechip,-0.00018594460099308208
2025-11-25,5989.3488,axis_bluechip,-0.00018472719119155823
2025-11-24,5988.0799,axis_bluechip,-0.00021185942618673348
2025-11-21,5985.1789,axis_bluechip,-0.00048446247352174066
2025-11-20,5984.2663,axis_bluechip,-0.00015247664526785165
2025-11-19,5983.4016,axis_bluechip,-0.00014449557500473276
2025-11-18,5982.3808,axis_bluechip,-0.00017060529582368922
2025-11-17,5981.2066,axis_bluechip,-0.00019627637210917204
2025-11-14,5978.3518,axis_bluechip,-0.00047729499930670993
2025-11-13,5977.4171,axis_bluechip,-0.0001563474401089504
2025-11-12,5976.3688,axis_bluechip,-0.00017537675261103391
2025-11-11,5975.0374,axis_bluechip,-0.00022277741627996228
2025-11-10,5973.9734,axis_bluechip,-0.00017807419916737732
2025-11-07,5971.0247,axis_bluechip,-0.000493591082946554
2025-11-06,5969.9256,axis_bluechip,-0.00018407225815031403
2025-11-04,5967.9587,axis_bluechip,-0.0003294680925335358
2025-11-03,5966.9646,axis_bluechip,-0.00016657286854215858
2025-10-31,5963.9425,axis_bluechip,-0.0005064719170615462
2025-10-30,5962.9105,axis_bluechip,-0.0001730398976851344
2025-10-29,5962.2436,axis_bluechip,-0.00011184135666642003
2025-10-28,5961.2816,axis_bluechip,-0.0001613486574080225
2025-10-27,5959.9594,axis_bluechip,-0.00022179794358323512
2025-10-24,5957.0133,axis_bluechip,-0.0004943154478536105
2025-10-23,5956.2661,axis_bluechip,-0.00012543198451475668
2025-10-20,5953.5542,axis_bluechip,-0.0004553020221846893
2025-10-17,5950.679,axis_bluechip,-0.0004829384101348033
2025-10-16,5949.9941,axis_bluechip,-0.00011509610920035218
2025-10-15,5949.6158,axis_bluechip,-6.3579894978405e-05
2025-10-14,5948.725,axis_bluechip,-0.0001497239536036865
2025-10-13,5947.7955,axis_bluechip,-0.00015625196995994184
2025-10-10,5944.8495,axis_bluechip,-0.0004953095646950123
2025-10-09,5943.9808,axis_bluechip,-0.00014612649151168888
2025-10-08,5943.1699,axis_bluechip,-0.00013642372465272334
2025-10-07,5942.4446,axis_bluechip,-0.00012203925046805342
2025-10-06,5941.7936,axis_bluechip,-0.00010955087406283592
2025-10-03,5938.4748,axis_bluechip,-0.0005585518823810753
2025-10-01,5935.6,axis_bluechip,-0.00048409736452859065
2025-09-30,5933.5373,axis_bluechip,-0.0003475133095223182
2025-09-26,5928.0474,axis_bluechip,-0.0009252322387860445
2025-09-25,5927.3108,axis_bluechip,-0.00012425676623306625
2025-09-24,5926.6741,axis_bluechip,-0.00010741802167690828
2025-09-23,5925.9531,axis_bluechip,-0.0001216533907272277
2025-09-22,5924.9723,axis_bluechip,-0.0001655092410365322
2025-09-19,5922.1357,axis_bluechip,-0.00047875329307456305
2025-09-18,5921.2244,axis_bluechip,-0.00015388029693408356
2025-09-17,5919.7048,axis_bluechip,-0.0002566361105990067
2025-09-16,5918.118,axis_bluechip,-0.00026805390701234444
2025-09-15,5916.611,axis_bluechip,-0.0002546417628037645
2025-09-12,5913.8365,axis_bluechip,-0.000468933989407061
2025-09-11,5913.2938,axis_bluechip,-9.176783970943347e-05
2025-09-10,5912.0041,axis_bluechip,-0.00021810179632886229
2025-09-09,5911.3924,axis_bluechip,-0.00010346745192557627
